"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
4933,1,NA,"2008-05-01","S",60,128,"BrM","ABX",1,600.958333333333,600.958333333333,"2006-09-08","2006-09-08",NA,NA,2008,2006,2006,357,326,7,6,NA,"N",116.914498673176,1267,1045,981.912924396,2.75125573,1,24,0.338172985,16.29999924,"S","MB","G","P","P",0,"Primary",0,0,109,1,"A",0.709719605,0.51828294,6589489,109.1
4939,1,NA,"2007-11-12","W",4,8,"BrM","ABX",1,550,550,"2006-05-11","2006-05-11",NA,NA,2007,2006,2006,393,349,7,5,NA,"N",45,2200,1884,578.85254053,2.824358152,1,12,0.215209635,16,"P","SP","B","D","H",0,"Primary",0,0,33,1,"A",0.22395186,0.007581185,2295225,33.1
4941,1,NA,"2008-05-01","S",39,33,"BrF","ABX",1,567.958333333333,635.958333333333,"2006-10-11","2006-08-04",NA,NA,2008,2006,2006,357,326,6,5,NA,"N",145.880087743324,1121,2253,981.912924396,2.75125573,0,28,-0.186578952,15,"S","HE","B","D","P",0,"Primary",0,0,39,1,"A",0.42343063,0.185445745,3790809,39.2
4947,1,NA,"2008-11-03","W",110,81,"BrM","ABX",1,753,753,"2006-10-12","2006-10-12",NA,NA,2008,2006,2006,361,329,5,5,NA,"N",77.8203058333749,3004,1223,981.912924396,2.75125573,1,1,0.42283632,17,"P","HE","B","D","P",0,"Primary",0,0,51,1,"A",0.597512797,0.376937258,5400976,51.2
4954,1,NA,"2007-11-12","W",99,92,"BrM","ABX",1,543,543,"2006-05-18","2006-05-18",NA,NA,2007,2006,2006,393,349,4,4,NA,"N",39.293765408777,2493,1929,578.85254053,2.824358152,1,13,0.587325257,17.5,"C","HE","B","D","P",0,"Primary",0,0,32,1,"A",0.487614771,0.25211439,4351396,32.2
4957,1,NA,"2008-07-26","S",177,165,"BrM","ABX",1,648.958333333333,648.958333333333,"2006-10-16","2006-10-16",NA,NA,2008,2006,2006,357,326,6,6,NA,"N",223.03362975121,3669,4022,981.912924396,2.75125573,1,30,0.257112736,16,"S","HD","G","P","P",0,"Primary",0,0,45,1,"A",0.662620451,0.457242253,6076225,45.1
4957,1,NA,"2008-07-26","S",177,165,"BrM","ABX",1,648.958333333333,648.958333333333,"2006-10-16","2006-10-16",NA,NA,2008,2006,2006,357,326,6,6,NA,"N",223.03362975121,3669,4022,981.912924396,2.75125573,1,108,-0.064888656,15.60000038,"P","HE","B","P","P",370,"Primary",0,0,50,2,"A",0.833470323,0.690457105,8037225,50.1
4961,1,NA,"2008-07-26","S",51,481,"BrF","ABX",1,646.958333333333,646.958333333333,"2006-10-18","2006-10-18",NA,NA,2008,2006,2006,357,326,4,3,NA,"N",270.601182554696,2049,839,981.912924396,2.75125573,0,4,-0.645535689,13.89999962,"S","SP","B","D","H",0,"Primary",0,0,77,1,"A",0.170388116,-0.032618823,1957201,77.1
4964,1,NA,"2007-07-20","S",57,13,"BrF","OFL",1,272.958333333333,344.958333333333,"2006-10-20","2006-08-09",NA,NA,2007,2006,2006,357,325,3,2,NA,"N",416.75052489469,2508,2521,578.85254053,2.824358152,0,2,-0.056600089,15.10000038,"S","SP","B","D","H",0,"Primary",0,0,91,1,"A",0.175929193,-0.028608622,1990921,91.1
4965,1,NA,"2008-02-12","W",53,127,"BrF","ABX",1,480,480,"2006-10-20","2006-10-20",NA,NA,2008,2006,2006,393,349,4,3,NA,"N",224.802135221176,2655,1936,578.85254053,2.824358152,0,17,0.811295113,18,"S","HE","G","P","P",1055,"Primary",0,0,33,2,"A",0.655232348,0.447891777,5997601,33.1
