"BirdID","TerritoryID","Status","FieldPeriodID","PeriodStart","PeriodEnd"
1826,9,"BrF",173,"10/06/2019","23/09/2019"
1826,9,"BrF",174,"05/02/2020","16/03/2020"
1826,36,"FL",30,"06/06/2003","02/09/2003"
1826,36,"ABX",34,"30/05/2004","02/09/2004"
1826,36,"ABX",32,"17/05/2004","29/05/2004"
1826,36,"ABX",35,"18/12/2004","12/01/2005"
1826,36,"OFL",31,"12/12/2003","14/01/2004"
1852,23,"CH",30,"06/06/2003","02/09/2003"
1852,23,"ABX",32,"17/05/2004","29/05/2004"
1852,23,"OFL",31,"12/12/2003","14/01/2004"
1852,26,"BrF",104,"30/06/2010","10/09/2010"
1852,26,"BrF",105,"25/06/2011","02/10/2011"
1852,26,"BrF",116,"04/06/2012","30/09/2012"
1852,26,"BrF",118,"22/01/2013","27/02/2013"
1852,26,"BrF",112,"22/01/2012","28/02/2012"
1852,26,"BrF",122,"18/06/2013","30/09/2013"
1852,26,"BrF",124,"19/01/2014","04/03/2014"
1852,76,"BrF",34,"30/05/2004","02/09/2004"
1852,76,"BrF",35,"18/12/2004","12/01/2005"
1852,76,"BrF",37,"26/05/2005","11/09/2005"
1852,76,"BrF",75,"12/06/2006","02/09/2006"
1852,76,"BrF",77,"06/01/2007","29/01/2007"
1852,76,"BrF",90,"30/12/2008","03/03/2009"
1852,76,"BrF",82,"14/06/2007","16/09/2007"
1852,76,"BrF",85,"08/01/2008","21/02/2008"
1852,76,"BrF",87,"10/07/2008","07/09/2008"
1852,76,"BrF",92,"08/06/2009","18/09/2009"
1852,76,"BrF",54,"11/11/2005","11/12/2005"
1864,30,"ABX",32,"17/05/2004","29/05/2004"
1864,30,"OFL",31,"12/12/2003","14/01/2004"
1864,34,"BrF",34,"30/05/2004","02/09/2004"
1864,34,"BrF",35,"18/12/2004","12/01/2005"
1864,34,"BrF",37,"26/05/2005","11/09/2005"
1864,34,"BrF",75,"12/06/2006","02/09/2006"
1864,34,"BrF",77,"06/01/2007","29/01/2007"
1864,34,"BrF",90,"30/12/2008","03/03/2009"
1864,34,"BrF",82,"14/06/2007","16/09/2007"
1864,34,"BrF",85,"08/01/2008","21/02/2008"
1864,34,"BrF",87,"10/07/2008","07/09/2008"
1864,34,"BrF",92,"08/06/2009","18/09/2009"
