"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
6261,642.958333333333,642.958333333333,2014-07-28,2014-07-28,NA,NA,2016,2014,2014
6267,366.958333333333,366.958333333333,2014-07-06,2014-07-06,NA,NA,2015,2014,2014
6268,NA,NA,2014-06-17,2014-06-17,0,0,NA,2014,2014
6272,380.958333333333,380.958333333333,2014-07-14,2014-07-14,NA,NA,2015,2014,2014
6273,NA,NA,2014-06-17,2014-06-17,0,0,NA,2014,2014
6279,658.958333333333,658.958333333333,2014-07-12,2014-07-12,NA,NA,2016,2014,2014
6309,506,506,2014-07-13,2014-07-13,NA,NA,2015,2014,2014
6312,169,177,2014-06-09,2014-06-01,NA,NA,2014,2014,2014
6313,927.958333333333,927.958333333333,2014-10-12,2014-10-12,NA,NA,2017,2014,2014
6374,525,525,2015-06-22,2015-06-22,NA,NA,2016,2015,2015
6378,192,192,2015-08-04,2015-08-04,NA,NA,2016,2015,2015
6382,481.958333333333,481.958333333333,2015-01-05,2015-01-05,NA,NA,2016,2015,2015
6384,470.958333333333,470.958333333333,2015-01-16,2015-01-16,NA,NA,2016,2015,2015
6385,583.958333333333,583.958333333333,2015-01-17,2015-01-17,NA,NA,2016,2015,2015
6546,223.958333333333,223.958333333333,2015-09-20,2015-09-20,NA,NA,2016,2015,2015
6549,NA,NA,2015-05-07,2015-05-07,0,0,NA,2015,2015
6552,206,206,2015-05-09,2015-05-09,NA,NA,2015,2015,2015
6554,275.958333333333,275.958333333333,2015-09-26,2015-09-26,NA,NA,2016,2015,2015
6556,203,203,2015-05-12,2015-05-12,NA,NA,2015,2015,2015
6557,428,428,2015-09-27,2015-09-27,NA,NA,2016,2015,2015
6560,NA,NA,2015-09-29,2015-09-29,0,0,NA,2015,2015
6563,406,406,2015-12-25,2015-12-25,NA,NA,2017,2015,2015
6564,NA,NA,2015-10-05,2015-10-05,0,0,NA,2015,2015
6565,180.958333333333,180.958333333333,2015-02-19,2015-02-19,NA,NA,2015,2015,2015
