"BirdID","NatalTerritory","Status","FieldPeriodID","PeriodStart","PeriodEnd"
"5908","165","CH","118",2013-01-22,2013-02-27
"5909","477","CH","116",2012-06-04,2012-09-30
"6009","77","CH","118",2013-01-22,2013-02-27
"6010","53","AB","122",2013-06-18,2013-09-30
"6011","13","CH","116",2012-06-04,2012-09-30
"6012","94","CH","116",2012-06-04,2012-09-30
"6013","154","CH","116",2012-06-04,2012-09-30
"6014","121","CH","116",2012-06-04,2012-09-30
"6015","85","CH","116",2012-06-04,2012-09-30
"6016","478","CH","116",2012-06-04,2012-09-30
"6017","479","CH","116",2012-06-04,2012-09-30
"6018","3","CH","116",2012-06-04,2012-09-30
"6019","63","BrM","122",2013-06-18,2013-09-30
"6020","20","CH","116",2012-06-04,2012-09-30
"6021","57","CH","118",2013-01-22,2013-02-27
"6022","126","BrF","122",2013-06-18,2013-09-30
"6023","58","CH","118",2013-01-22,2013-02-27
"6024","168","CH","118",2013-01-22,2013-02-27
"6025","47","CH","118",2013-01-22,2013-02-27
"6026","82","CH","118",2013-01-22,2013-02-27
"6027","36","CH","118",2013-01-22,2013-02-27
"6028","14","CH","118",2013-01-22,2013-02-27
"6029","480","CH","118",2013-01-22,2013-02-27
"6030","111","CH","118",2013-01-22,2013-02-27
"6031","125","CH","118",2013-01-22,2013-02-27
"6032","603","BrM","124",2014-01-19,2014-03-04
"6033","60","CH","118",2013-01-22,2013-02-27
"6034","178","CH","118",2013-01-22,2013-02-27
"6036","123","BrF","124",2014-01-19,2014-03-04
"6037","90","CH","122",2013-06-18,2013-09-30
"6045","481","CH","122",2013-06-18,2013-09-30
"6046","481","CH","122",2013-06-18,2013-09-30
"6047","8","CH","122",2013-06-18,2013-09-30
"6048","129","CH","118",2013-01-22,2013-02-27
"6050","90","CH","122",2013-06-18,2013-09-30
"6061","100","BrF","124",2014-01-19,2014-03-04
"6062","135","CH","122",2013-06-18,2013-09-30
"6065","40","CH","122",2013-06-18,2013-09-30
"6067","39","CH","122",2013-06-18,2013-09-30
"6068","602","BrF","124",2014-01-19,2014-03-04
"6137","481","CH","124",2014-01-19,2014-03-04
"6138","80","CH","122",2013-06-18,2013-09-30
"6140","112","CH","124",2014-01-19,2014-03-04
"6141","9","CH","124",2014-01-19,2014-03-04
"6142","13","CH","124",2014-01-19,2014-03-04
"6147","477","CH","124",2014-01-19,2014-03-04
"6149","26","CH","124",2014-01-19,2014-03-04
"6150","407","CH","124",2014-01-19,2014-03-04
"6153","46","CH","124",2014-01-19,2014-03-04
"6155","478","CH","124",2014-01-19,2014-03-04
"6158","110","CH","124",2014-01-19,2014-03-04
"6160","34","CH","124",2014-01-19,2014-03-04
"6166","72","CH","124",2014-01-19,2014-03-04
"6169","101","CH","124",2014-01-19,2014-03-04
"6170","179","CH","124",2014-01-19,2014-03-04
"6175","88","CH","124",2014-01-19,2014-03-04
"6180","83","CH","124",2014-01-19,2014-03-04
"6181","174","CH","122",2013-06-18,2013-09-30
"6185","134","CH","124",2014-01-19,2014-03-04
"6186","159","CH","124",2014-01-19,2014-03-04
"6196","81","CH","124",2014-01-19,2014-03-04
"6199","179","CH","125",2014-06-16,2014-10-04
"6205","20","CH","125",2014-06-16,2014-10-04
"6209","24","CH","125",2014-06-16,2014-10-04
"6213","63","CH","125",2014-06-16,2014-10-04
"6219","111","CH","125",2014-06-16,2014-10-04
"6221","79","CH","125",2014-06-16,2014-10-04
"6230","30","CH","125",2014-06-16,2014-10-04
"6239","70","CH","125",2014-06-16,2014-10-04
"6240","71","CH","125",2014-06-16,2014-10-04
"6261","63","CH","125",2014-06-16,2014-10-04
