mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
5543_142,6548,5543,6136,1,142,22/06/2015,29/09/2015,50,71,6136_142,Sub,50,71
5549_116,5854,5549,5522,1,116,04/06/2012,30/09/2012,130,479,5522_116,Dom,130,479
5549_116,5855,5549,5522,0.999,116,04/06/2012,30/09/2012,130,479,5522_116,Dom,130,479
5549_116,6017,5549,5612,1,116,04/06/2012,30/09/2012,130,479,5612_116,Dom,130,479
5575_142,6546,5575,5820,1,142,22/06/2015,29/09/2015,51.2,75,5820_142,Dom,51.2,75
5589_118,5907,5589,5275,0.988,118,22/01/2013,27/02/2013,53.1,80,5275_118,Dom,53.1,80
5589_122,6138,5589,5559,0.998,122,18/06/2013,30/09/2013,53.1,80,5559_122,Dom,53.1,80
5589_142,6551,5589,5559,1,142,22/06/2015,29/09/2015,53.1,80,5559_142,Dom,53.1,80
5596_118,6031,5596,5249,0.86,118,22/01/2013,27/02/2013,85,125,5249_118,U,85,125
5597_125,6221,5597,5602,0.999,125,16/06/2014,04/10/2014,53,79,5602_125,Dom,53,79
5598_105,5847,5598,5249,1,105,25/06/2011,02/10/2011,77,110,5249_105,Sub,77,110
5598_124,6158,5598,5077,0.997,124,19/01/2014,04/03/2014,77,110,5077_124,Sub,77,110
5604_116,5822,5604,1729,1,116,04/06/2012,30/09/2012,8,13,1729_116,Sub,8,13
5604_124,6142,5604,1607,1,124,19/01/2014,04/03/2014,8,13,1607_124,Sub,8,13
5611_124,6153,5611,5508,1,124,19/01/2014,04/03/2014,32.5,46,5508_124,Sub,32.5,46
5613_142,6552,5613,5522,0.945,142,22/06/2015,29/09/2015,41.1,58,5522_142,Dom,41.1,58
5621_116,6011,5621,1607,1,116,04/06/2012,30/09/2012,8,13,1607_116,Dom,8,13
5621_164,6831,5621,6171,1,164,21/06/2017,20/09/2017,123,172,6171_164,Dom,123,172
5625_125,6273,5625,5626,0.992,125,16/06/2014,04/10/2014,78,112,5626_125,Dom,78,112
5630_125,6209,5630,2966,1,125,16/06/2014,04/10/2014,18,24,2966_125,Dom,18,24
5630_144,6563,5630,2966,1,144,02/02/2016,09/03/2016,18,24,2966_144,Dom,18,24
5634_118,5908,5634,5291,1,118,22/01/2013,27/02/2013,108,165,5291_118,Dom,108,165
5634_142,6560,5634,6379,1,142,22/06/2015,29/09/2015,108,165,6379_142,Dom,108,165
5635_122,6045,5635,5462,1,122,18/06/2013,30/09/2013,133,481,5462_122,Dom,133,481
5635_122,6046,5635,5595,0.995,122,18/06/2013,30/09/2013,133,481,5595_122,Dom,133,481
5635_124,6137,5635,5620,1,124,19/01/2014,04/03/2014,133,481,5620_124,Dom,133,481
5635_159,6693,5635,3456,1,159,23/06/2016,19/09/2016,133,481,3456_159,Dom,133,481
5640_164,6764,5640,6572,0.999,164,21/06/2017,20/09/2017,41,57,6572_164,Sub,41,57
5657_125,6279,5657,1762,1,125,16/06/2014,04/10/2014,10,15,1762_125,Dom,10,15
5657_166,6900,5657,6155,0.987,166,30/01/2018,14/03/2018,10,15,6155_166,Dom,10,15
5683_116,6016,5683,1750,1,116,04/06/2012,30/09/2012,127,478,1750_116,Dom,127,478
5685_116,6015,5685,5285,1,116,04/06/2012,30/09/2012,57.1,85,5285_116,Dom,57.1,85
5750_125,6230,5750,5847,1,125,16/06/2014,04/10/2014,23,30,5847_125,Dom,23,30
5766_122,6067,5766,4890,1,122,18/06/2013,30/09/2013,28.1,39,4890_122,Dom,28.1,39
