mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_Terr,dad_FPID,mum_Terr
464_19,943,464,NA,0.621,19,22/05/1995,14/09/1995,36,NA_19,36
466_17,828,466,51,1,17,07/07/1994,29/07/1994,46,51_17,46
466_21,1203,466,51,1,21,24/06/1996,11/08/1996,35,51_21,35
466_28,1558,466,51,1,28,02/07/1999,26/09/1999,35,51_28,35
468_17,916,468,465,0.995,17,07/07/1994,29/07/1994,112,465_17,112
469_17,917,469,453,0.975,17,07/07/1994,29/07/1994,45,453_17,112
469_17,917,469,453,0.975,17,07/07/1994,29/07/1994,45,453_17,45
469_19,884,469,467,0.997,19,22/05/1995,14/09/1995,45,467_19,45
469_21,1202,469,467,1,21,24/06/1996,11/08/1996,45,467_21,45
469_22,1230,469,467,0.989,22,01/07/1997,28/08/1997,45,467_22,45
469_25,1396,469,467,0.821,25,20/06/1998,27/09/1998,45,467_25,45
474_19,946,474,857,0.999,19,22/05/1995,14/09/1995,60,857_19,60
474_23,1262,474,884,1,23,20/12/1997,28/03/1998,60,884_23,60
476_39,1573,476,917,0.582,39,25/07/2000,13/08/2000,68,917_39,68
479_22,1238,479,866,1,22,01/07/1997,28/08/1997,59,866_22,59
4803_116,6014,4803,1829,1,116,04/06/2012,30/09/2012,83,1829_116,83
4861_122,6042,4861,5000,1,122,18/06/2013,30/09/2013,103.1,5000_122,103.1
4861_124,6186,4861,5583,1,124,19/01/2014,04/03/2014,103.1,5583_124,103.1
4861_164,6849,4861,5583,1,164,21/06/2017,20/09/2017,103.1,5583_164,103.1
4861_166,6867,4861,5583,0.5,166,30/01/2018,14/03/2018,103.1,5583_166,103.1
4863_103,5511,4863,1762,0.999,103,12/02/2010,19/03/2010,10,1762_103,10
4863_104,5553,4863,1762,1,104,30/06/2010,10/09/2010,10,1762_104,10
4868_90,5319,4868,1886,1,90,30/12/2008,03/03/2009,92,1886_90,92
4868_92,5498,4868,1886,0.999,92,08/06/2009,18/09/2009,92,1886_92,92
4871_92,5418,4871,4860,0.997,92,08/06/2009,18/09/2009,129,4860_92,24
4871_92,5418,4871,4860,0.997,92,08/06/2009,18/09/2009,129,4860_92,129
4871_92,5460,4871,4860,0.999,92,08/06/2009,18/09/2009,129,4860_92,24
4871_92,5460,4871,4860,0.999,92,08/06/2009,18/09/2009,129,4860_92,129
4878_87,5224,4878,1742,1,87,10/07/2008,07/09/2008,50,1742_87,50
4878_87,5318,4878,5165,0.81,87,10/07/2008,07/09/2008,50,5165_87,50
4883_104,5552,4883,1801,1,104,30/06/2010,10/09/2010,120,1801_104,120
4883_92,5457,4883,3458,1,92,08/06/2009,18/09/2009,120,3458_92,120
4883_92,5457,4883,3458,1,92,08/06/2009,18/09/2009,120,3458_92,94.2
4885_116,5906,4885,5338,1,116,04/06/2012,30/09/2012,101.1,5338_116,101.1
4896_104,5550,4896,1881,0.996,104,30/06/2010,10/09/2010,33.1,1881_104,33.1
4896_122,6044,4896,5639,1,122,18/06/2013,30/09/2013,33.1,5639_122,33.1
4896_122,6163,4896,5639,1,122,18/06/2013,30/09/2013,33.1,5639_122,33.1
4896_124,6161,4896,1881,1,124,19/01/2014,04/03/2014,33.1,1881_124,33.1
4896_125,6283,4896,5764,1,125,16/06/2014,04/10/2014,33.1,5764_125,33.1
4896_144,6655,4896,6213,1,144,02/02/2016,09/03/2016,33.1,6213_144,33.1
4896_87,5237,4896,2990,0.926,87,10/07/2008,07/09/2008,33.1,2990_87,33.1
4896_90,5335,4896,2990,0.999,90,30/12/2008,03/03/2009,33.1,2990_90,33.1
4896_92,5508,4896,2990,1,92,08/06/2009,18/09/2009,33.1,2990_92,33.1
4904_112,5820,4904,5447,1,112,22/01/2012,28/02/2012,59.1,5447_112,59.1
4904_122,6035,4904,NA,0.61,122,18/06/2013,30/09/2013,59.1,NA_122,59.1
4904_124,6175,4904,5283,1,124,19/01/2014,04/03/2014,59.1,5283_124,59.1
4907_82,5153,4907,1171,0.638,82,14/06/2007,16/09/2007,96,1171_82,96
4917_104,5543,4917,4860,1,104,30/06/2010,10/09/2010,50,4860_104,50
4917_105,5768,4917,5144,1,105,25/06/2011,02/10/2011,50,5144_105,50
4917_125,6208,4917,5847,1,125,16/06/2014,04/10/2014,50,5847_125,50
4935_104,5555,4935,3454,1,104,30/06/2010,10/09/2010,65,3454_104,65
4935_90,5326,4935,3486,1,90,30/12/2008,03/03/2009,65,3486_90,65
4935_92,5464,4935,3486,1,92,08/06/2009,18/09/2009,65,3486_92,65
4936_103,5527,4936,1710,1,103,12/02/2010,19/03/2010,131,1710_103,131
4936_104,5546,4936,1731,0.999,104,30/06/2010,10/09/2010,131,1731_104,131
4936_92,5337,4936,1710,1,92,08/06/2009,18/09/2009,131,1710_92,131
4941_92,5526,4941,3615,1,92,08/06/2009,18/09/2009,25,3615_92,25
4958_104,5608,4958,4888,1,104,30/06/2010,10/09/2010,52.1,4888_104,52.1
4958_104,5608,4958,4888,1,104,30/06/2010,10/09/2010,52.1,4888_104,51.2
4958_104,5678,4958,4888,1,104,30/06/2010,10/09/2010,52.1,4888_104,52.1
4958_104,5678,4958,4888,1,104,30/06/2010,10/09/2010,52.1,4888_104,51.2
4958_116,5853,4958,1710,0.997,116,04/06/2012,30/09/2012,52.1,1710_116,52.1
4958_118,6009,4958,5626,1,118,22/01/2013,27/02/2013,52.1,5626_118,52.1
4958_124,6151,4958,1710,1,124,19/01/2014,04/03/2014,52.1,1710_124,52.1
4958_124,6152,4958,5626,1,124,19/01/2014,04/03/2014,52.1,5626_124,52.1
4958_125,6198,4958,5626,1,125,16/06/2014,04/10/2014,52.1,5626_125,52.1
4958_144,6689,4958,5626,1,144,02/02/2016,09/03/2016,52.1,5626_144,52.1
4958_159,6665,4958,6018,0.999,159,23/06/2016,19/09/2016,52.1,6018_159,52.1
4958_166,6881,4958,5626,1,166,30/01/2018,14/03/2018,52.1,5626_166,52.1
4958_92,5456,4958,4888,1,92,08/06/2009,18/09/2009,52.1,4888_92,52.1
4960_92,5528,4960,4872,1,92,08/06/2009,18/09/2009,64,4872_92,64
4961_103,5539,4961,5167,1,103,12/02/2010,19/03/2010,133,5167_103,133
4964_104,5588,4964,911,0.992,104,30/06/2010,10/09/2010,8,911_104,8
4964_92,5313,4964,1762,1,92,08/06/2009,18/09/2009,8,1762_92,8
4964_92,5521,4964,1607,1,92,08/06/2009,18/09/2009,8,1607_92,8
4965_104,5540,4965,1616,1,104,30/06/2010,10/09/2010,87,1616_104,87
4965_105,5651,4965,5290,1,105,25/06/2011,02/10/2011,87,5290_105,87
4965_105,5783,4965,1616,1,105,25/06/2011,02/10/2011,87,1616_105,87
4965_105,5755,4965,1616,0.989,105,25/06/2011,02/10/2011,87,1616_105,87
4965_105,5622,4965,1616,0.991,105,25/06/2011,02/10/2011,87,1616_105,87
4965_124,6063,4965,5643,1,124,19/01/2014,04/03/2014,87,5643_124,87
4965_124,6176,4965,5643,1,124,19/01/2014,04/03/2014,87,5643_124,87
4965_125,6192,4965,5643,0.638,125,16/06/2014,04/10/2014,87,5643_125,87
4965_161,6747,4965,5643,1,161,07/02/2017,03/03/2017,87,5643_161,87
4965_164,6862,4965,6313,1,164,21/06/2017,20/09/2017,87,6313_164,87
4965_164,6787,4965,6313,1,164,21/06/2017,20/09/2017,87,6313_164,87
4965_87,5277,4965,1616,1,87,10/07/2008,07/09/2008,87,1616_87,87
4965_92,5531,4965,1616,1,92,08/06/2009,18/09/2009,87,1616_92,87
