"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"160" "1271_30" "1830" "1271" "1395" "1" 30 111 "1395_30" "Sub" 111
"161" "1271_39" "1595" "1271" "1395" "1" 39 111 "1395_39" "Dom" 111
"162" "1271_40" "1683" "1271" "1593" "1" 40 111 "1593_40" "U" 111
"163" "1271_41" "1807" "1271" "1593" "1" 41 111 "1593_41" "Sub" 111
"164" "1275_30" "1883" "1275" "1587" "1" 30 96 "1587_30" "Dom" 96
"165" "1275_37" "3459" "1275" "1610" "1" 37 96 "1610_37" "Dom" 96
"166" "1275_41" "1793" "1275" "1610" "1" 41 96 "1610_41" "Dom" 96
"167" "1299_23" "1300" "1299" "1028" "1" 23 103.1 "1028_23" "Dom" 103.1
"168" "1304_28" "1497" "1304" "668" "1" 28 97.1 "668_28" "Dom" 97.1
"169" "1304_28" "1528" "1304" "668" "1" 28 97.1 "668_28" "Dom" 97.1
"170" "1305_30" "1896" "1305" "1595" "1" 30 47 "1595_30" "Dom" 47
"171" "1305_30" "1783" "1305" "1595" "1" 30 47 "1595_30" "Dom" 47
"172" "1305_77" "5075" "1305" "453" "1" 77 47 "453_77" "Dom" 47
"173" "1345_25" "1393" "1345" "215" "1" 25 16 "215_25" "Dom" 16
"174" "1345_27" "1421" "1345" "215" "1" 27 16 "215_27" "Dom" 16
"175" "1347_25" "1397" "1347" "494" "1" 25 29 "494_25" "Dom" 29
"176" "1347_27" "1420" "1347" "494" "0.991" 27 29 "494_27" "zDead" 29
"177" "1355_30" "1819" "1355" "1802" "0.751" 30 53 "1802_30" "Dom" 53
"178" "1355_40" "1754" "1355" "1234" "0.999" 40 53 "1234_40" "Dom" 53
"179" "1361_103" "5533" "1361" "1698" "1" 103 35 "1698_103" "Dom" 130
"180" "1361_103" "5533" "1361" "1698" "1" 103 35 "1698_103" "Dom" 35
"181" "1361_30" "1768" "1361" "1590" "1" 30 35 "1590_30" "Dom" 35
"182" "1361_37" "3452" "1361" "1553" "1" 37 35 "1553_37" "Dom" 35
"183" "1361_75" "4961" "1361" "1698" "1" 75 35 "1698_75" "Dom" 35
"184" "1361_82" "5155" "1361" "1698" "1" 82 35 "1698_82" "Dom" 35
"185" "1361_87" "5279" "1361" "1698" "1" 87 35 "1698_87" "Dom" 35
"186" "1362_32" "3090" "1362" "1509" "1" 32 4 "1509_32" "zDead" 4
"187" "1362_41" "1750" "1362" "1187" "0.998" 41 4 "1187_41" "Dom" 4
"188" "1369_28" "1556" "1369" "1032" "1" 28 43 "1032_28" "Dom" 43
"189" "1369_28" "1552" "1369" "1032" "1" 28 43 "1032_28" "Dom" 43
"190" "1369_30" "2960" "1369" "1744" "1" 30 43 "1744_30" "Dom" 43
"191" "1369_35" "3618" "1369" "1744" "1" 35 43 "1744_35" "Dom" 43
"192" "1369_37" "3515" "1369" "1744" "1" 37 43 "1744_37" "Dom" 43
"193" "1369_39" "1572" "1369" "1032" "1" 39 43 "1032_39" "Dom" 43
"194" "1369_40" "1745" "1369" "1504" "0.999" 40 43 "1504_40" "Dom" 43
"195" "1380_40" "1760" "1380" "602" "1" 40 84 "602_40" "Dom" 84
"196" "1380_41" "1784" "1380" "1395" "0.999" 41 84 "1395_41" "Dom" 84
"197" "1382_39" "1588" "1382" "847" "1" 39 94 "847_39" "Dom" 94
"198" "1382_39" "1589" "1382" "847" "1" 39 94 "847_39" "Dom" 94
"199" "1382_41" "1794" "1382" "1677" "1" 41 92 "1677_41" "zDead" 92
"200" "1384_30" "1868" "1384" "1553" "1" 30 36 "1553_30" "Dom" 36
"201" "1384_39" "1616" "1384" "1370" "1" 39 36 "1370_39" "Dom" 36
"202" "1384_40" "1697" "1384" "1370" "1" 40 36 "1370_40" "Dom" 36
"203" "1384_41" "1696" "1384" "1557" "0.998" 41 36 "1557_41" "Dom" 36
"204" "1386_25" "1388" "1386" "1274" "1" 25 34 "1274_25" "Sub" 34
"205" "1386_28" "1561" "1386" "216" "1" 28 34 "216_28" "Dom" 34
"206" "1387_41" "1779" "1387" "1670" "1" 41 87.1 "1670_41" "Dom" 87.1
"207" "1388_37" "3520" "1388" "1611" "1" 37 24 "1611_37" "zDead" 24
"208" "1390_41" "1748" "1390" "921" "0.884" 41 32.5 "921_41" "Dom" 32.5
"209" "1401_25" "1400" "1401" "605" "1" 25 85 "605_25" "Sub" 85
"210" "1401_28" "1518" "1401" "1185" "1" 28 85 "1185_28" "Sub" 85
"211" "1401_30" "1871" "1401" "1524" "1" 30 85 "1524_30" "Dom" 85
"212" "1401_34" "3011" "1401" "1788" "1" 34 85 "1788_34" "Dom" 85
"213" "1401_37" "3596" "1401" "1877" "1" 37 85 "1877_37" "Dom" 85
"214" "1401_40" "1722" "1401" "1185" "1" 40 85 "1185_40" "Sub" 85
"215" "1401_41" "1788" "1401" "1551" "0.995" 41 85 "1551_41" "Sub" 85
"216" "1401_82" "5156" "1401" "1788" "0.999" 82 85 "1788_82" "Dom" 85
"217" "1401_82" "5164" "1401" "1877" "1" 82 85 "1877_82" "Dom" 85
"218" "1403_23" "1295" "1403" "849" "0.999" 23 69 "849_23" "Dom" 69
"219" "1403_25" "1406" "1403" "849" "0.999" 25 69 "849_25" "Dom" 69
"220" "1403_27" "1425" "1403" "849" "1" 27 69 "849_27" "Dom" 69
"221" "1403_28" "1529" "1403" "849" "1" 28 69 "849_28" "Dom" 69
"222" "1403_28" "1527" "1403" "849" "1" 28 69 "849_28" "Dom" 69
"223" "1403_30" "1808" "1403" "849" "1" 30 69 "849_30" "Dom" 69
"224" "1403_37" "3462" "1403" "1533" "0.999" 37 69 "1533_37" "Dom" 69
"225" "1403_37" "3461" "1403" "1533" "1" 37 69 "1533_37" "Dom" 69
